Car_ID,Car_Name,Year,Present_Price_Lakh,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price_Lakh
C001,Maruti Swift,2022,8.5,18000,Petrol,Individual,Manual,0,3.38
C002,Hyundai i20,2021,9.2,22000,Petrol,Individual,Manual,0,2.64
C003,Tata Nexon,2023,11.5,12000,Petrol,Dealer,Manual,0,5.83
C004,Honda City,2020,13.8,35000,Petrol,Individual,Manual,1,2.89
C005,Toyota Innova,2019,18.5,52000,Diesel,Dealer,Manual,1,1.62
C006,Kia Seltos,2022,17.2,19000,Diesel,Dealer,Automatic,0,7.34
C007,Hyundai Creta,2021,16.4,28000,Diesel,Individual,Automatic,0,5.95
C008,Mahindra XUV500,2018,15.8,68000,Diesel,Dealer,Manual,1,1.6
C009,Tata Altroz,2022,8.9,17000,Diesel,Individual,Manual,0,3.61
C010,Renault Kwid,2020,5.2,30000,Petrol,Individual,Manual,0,1.6
C011,Maruti Baleno,2021,8.1,24000,Petrol,Dealer,Manual,0,2.87
C012,Honda Amaze,2019,9.8,41000,Diesel,Individual,Manual,1,1.6
C013,Toyota Fortuner,2020,36.0,42000,Diesel,Dealer,Automatic,1,9.13
C014,MG Hector,2021,20.5,26000,Petrol,Dealer,Automatic,0,8.07
C015,Skoda Rapid,2018,11.7,59000,Diesel,Individual,Manual,1,1.6
C016,Volkswagen Polo,2019,9.4,46000,Petrol,Individual,Manual,1,1.6
C017,Maruti Brezza,2022,10.8,16000,Diesel,Dealer,Manual,0,4.7
C018,Hyundai Venue,2023,12.6,9000,Petrol,Individual,Automatic,0,6.06
C019,Tata Harrier,2020,19.3,48000,Diesel,Dealer,Manual,1,4.55
C020,Jeep Compass,2019,24.5,54000,Diesel,Dealer,Automatic,1,4.14
C021,Maruti Dzire,2021,7.9,21000,Petrol,Individual,Manual,0,2.44
C022,Hyundai Verna,2020,13.1,33000,Petrol,Individual,Automatic,0,3.27
C023,Toyota Glanza,2022,8.7,14000,Petrol,Dealer,Manual,0,3.85
C024,Kia Sonet,2021,11.9,25000,Diesel,Dealer,Automatic,0,4.49
C025,Mahindra Thar,2022,16.8,18000,Diesel,Individual,Manual,0,6.63
C026,Honda WR-V,2019,10.9,43000,Diesel,Individual,Manual,1,1.6
C027,Ford EcoSport,2018,12.2,61000,Diesel,Dealer,Manual,1,1.6
C028,Nissan Magnite,2022,7.8,15000,Petrol,Individual,Manual,0,3.13
C029,Renault Duster,2019,12.9,50000,Diesel,Dealer,Manual,1,1.91
C030,Maruti Ertiga,2020,10.7,37000,Petrol,Individual,Manual,0,2.57
C031,Hyundai i10,2018,6.3,57000,Petrol,Individual,Manual,1,1.6
C032,Tata Punch,2023,8.2,7000,Petrol,Dealer,Manual,0,3.94
C033,Honda Jazz,2020,9.6,32000,Petrol,Individual,Automatic,0,2.44
C034,Toyota Yaris,2019,13.5,39000,Petrol,Dealer,Automatic,1,1.93
C035,MG Astor,2022,16.2,13000,Petrol,Dealer,Automatic,0,7.5
C036,Mahindra Scorpio,2018,17.9,72000,Diesel,Individual,Manual,1,1.6
C037,Hyundai Alcazar,2022,21.3,21000,Diesel,Dealer,Automatic,0,9.7
C038,Skoda Kushaq,2023,15.4,8000,Petrol,Individual,Automatic,0,7.46
C039,Volkswagen Taigun,2022,17.8,15000,Petrol,Dealer,Automatic,0,7.59
C040,Tata Tiago,2021,6.9,27000,Petrol,Individual,Manual,0,2.26
